company_name_id,company_name,url,city,state,zip_code,ceo_first_name,ceo_last_name,year_founded,full_time_employees,company_type,company_category,revenue_source,description,description_short,financial_info,source_count,data_comments,dataset_wishlist,confidentiality,ts,survey_submitted,vetted,locked,vettedByCompany,display,notes
Hows-My-Offer,How's My Offer?,http://hmo.launchrock.com/,,WA,,,,0,0,,Education,Not reported by company,How's My Offer allows students to anonymously compare college award offer letters with others. Through the power of community anonymous offers will help other students make better decisions in the future too.,"How's My Offer allows students to anonymously compare college award offer letters with others, and help other students make better decisions in the future too.",,NA,,,,2014-04-04 23:23:16.721501,False,False,False,True,True,
Humedica,Humedica,http://www.humedica.com,Boston,MA,02135,,,0,0,Private,Healthcare,,"Humedica is the foremost clinical intelligence company that provides private cloud-based business solutions to the health care industry. Humedica’s sophisticated analytics platform transforms disparate clinical data into actionable, real world insights. Powered by the largest and most comprehensive clinical database, Humedica solutions move beyond claims data to offer a more complete, longitudinal view of the patient population.","Humedica empowers its partners and customers to make confident, value-based decisions about patient care in a rapidly changing health care market.",,,,,,2013-12-15 15:28:24.773000,False,False,False,False,False,
Humetrix,Humetrix,http://www.humetrix.com,San Diego,CA,92130,,,0,0,,Data/Technology,,,Humetrix' innovative Information Technology (IT) and its patent portfolio cover a range of innovative processes for Internet and private network access.,,,,,,2013-12-15 15:28:24.797000,False,False,False,False,False,
Ibluebutton,iBlueButton,http://www.ibluebutton.com,San Diego,CA,92130,,,0,0,,Healthcare,,,"iBlueButton® is the mobile embodiment of Blue Button®, a Federal initiative adopted nationwide to give Americans easy access to their medical information online.",,,,,,2013-12-15 15:28:24.821000,False,False,False,False,False,
Ibm-Smarter-Cities,IBM Smarter Cities,www.ibm.com/smarterplanet/us/en/smarter_cities,Armonk,NY,10504,,,2010,0,,Data/Technology,Not reported by company,"Smarter Planet is a corporate initiative of the information technology company IBM. The initiative seeks to highlight how forward-thinking leaders in business, government and civil society around the world can capture the potential of smarter systems to achieving economic growth, near-term efficiency, sustainable development and societal progress.",IBM Smarter Cities is an initiative of IBM Smarter Planet.,,NA,,,,2013-12-15 15:28:24.845000,False,False,False,False,True,
Ideas42,ideas42,ideas42.org,New York,NY,10004,,,2008,38,Nonprofit,Research & Consulting,Philanthropy,"ideas42 is a design and research lab that uses behavioral economics to address complex social problems. The work ideas42 does falls into three categories: First, educating decision makers and leaders in the power of behavioral economics and how to apply it. Second, assisting clients on projects with existing products, policies and programs to apply behavioral economics to make them more effective. Finally, inventing new ideas, processes, and products that use insights from BE. This work focuses on areas such as consumer finance, energy efficiency, education, increasing up-take of social programs, economic mobility, and health, within the United States and around the world.",Ideas42 uses behavioral economics to do social good and have impact at scale.,,,,"Information on consumers purchases (credit card history), that is de-identified.","Please contact Will Tucker, will@ideas42.org, if you have any more questions about ideas42.",2013-12-15 15:27:48.181000,True,True,True,True,True,
Igo-Vampire-Power-Calculator,iGo Vampire Power Calculator,http://www.igo.com/page/vampirepower/,Gilbert,AZ,85234,,,0,10,Private,Energy,,"Built as part of iGo’s “Vampire Power Awareness” campaign advertised nationally in WIRED magazine, the Vampire Power Calculator allows users to determine how much wasted energy is being drained from common household appliances. The app provides a calculator, an energy quiz, energy conservation information, and an augmented reality marker which cooperates with iGo’s Vampire Power Awareness web site. The app also directed users to iGo’s energy efficient power adapters, designed to reduce and eliminate passive-state energy waste.

iGo produces Power Smart products that can prevent energy being drawn from electronic devices that are plugged in but not in use, and provides a calculator to assess the potential energy savings.","iGo produces Power Smart products that can prevent energy being drawn from electronic devices plugged in but not in use, and an energy savings calculator.",,,,,,2013-12-15 15:28:24.868000,False,False,False,False,False,
Iirc,IIRC,http://www.theiirc.org/the-iirc/,,,00000,,,0,0,,Finance & Investment,,,"The International Integrated Reporting Council (IIRC) is a global coalition of regulators, investors, companies, standard setters, the accounting profession and NGOs focused on corporate reporting.",,,,,,2013-12-15 15:28:24.892000,False,False,False,False,False,
Imedicare,iMedicare,http://imedicare.com,New York,NY,10013,Flaviu,Simihaian,2012,8,Private,Healthcare,Subscriptions,"iMedicare makes it easy to navigate the complexity of Medicare for patients, show preferred networks you are (and are not) in, and which plan reimburses your pharmacy best (and worst).

<p>Millions of Medicare patients walk into their pharmacy concerned about their Medicare plan coverage and how to save money. Pharmacists have the expertise to help them more than an insurance broker or a social worker can due to the complexities around Step Therapy, Prior Authorization, and Quantity Limits different plans require. We’ve seen time and time again how pharmacies that take the time to sit down and help patients see the highest profit returns.</p>",iMedicare saves seniors and pharmacies money on Medicare.,Will generate over $3M in 2014,1-10,,Pharmacy negotiated prices for each Medicare Part D plan's formulary.,,2013-12-15 15:28:24.915000,True,True,False,True,True,
Impact-Forecasting-Aon,Impact Forecasting (Aon),http://www.aon.com/impactforecasting/impact-forecasting.jsp,,IL,,,,0,0,Public,Insurance,Not reported by company,"Impact Forecasting s a catastrophe model development center of excellence within Aon Benfield whose seismologists, meteorologists, hydrologists, engineers, mathematicians, GIS experts, finance, risk management and insurance professionals analyze the financial implications of natural and man-made catastrophes around the world. Impact Forecasting’s experts develop software tools and models that help clients understand underlying risks from hurricanes, tornadoes, earthquakes, floods, wildfires and terrorist attacks on property, casualty and crop insurers and reinsurers. Impact Forecasting is the only catastrophe model development firm integrated into a reinsurance intermediary.",Impact Forecasting develops models that help analyze the financial implications of catastrophic events so that our clients achieve a greater understanding of their risks.,,NA,,,,2014-04-06 02:01:57.747743,False,False,False,True,True,
Impaq-International,Impaq International,http://www.impaqint.com,Columbia,MD,21044,,,0,0,Private,Research & Consulting,Not reported by company,"Our work is focused on the evaluation of social programs and policies, particularly those that target assistance to the most vulnerable groups in society.  We apply rigorous evaluation techniques to help our clients identify programs and policies that are effective and help to support their implementation.  In doing so, we believe that our work can make and has made a real difference in creating and fostering social change.","IMPAQ applies quantitative and qualitative research to conduct rigorous impact evaluations and research studies on workforce development, health, and education programs and policies.",,NA,,,,2013-12-15 15:28:24.940000,False,False,False,False,True,
Importio,Import.io,http://import.io,San Francisco,CA,94103,David,White,2012,20,Private,Data/Technology,"Database Licensing, sell data sets",Import.io allows users to extract structured data from websites without writing any computer code. Users simply navigate to a website and teach the browser to extract data by showing it examples of where the data is; learning algorithms then generalize from these examples to work out how to get all the data on the website. The data that users collect is stored on import.io’s cloud servers to be downloaded and shared. Users can also generate an API from the data allowing them to easily integrate live web data into their own applications or third party analytics and visualization software. The import.io data browser is free to download from the website.,Import.io's mission is to structure the web and make web data available to everyone.,"In February 2013 we raised a seed round of $1.3 million from Wellington Venture Capital and two angel investors, Emmanuel Javal and Louis Monier. We are not currently generating revenue as we are focused on improving our product and building our user base. Our business model is to sell data sets to large corporates while at the same time providing a free tool to allow people to access data from the web programmatically.",1-10,None,None,,2013-12-15 15:28:24.964000,True,True,False,True,True,
Ims-Health,IMS Health,http://www.imshealth.com/portal/site/imshealth,Danbury,CT,06810,,,0,0,Private,Healthcare,Not reported by company,"By applying cutting-edge analytics and proprietary application suites hosted on the IMS One intelligent cloud, the company connects more than 10 petabytes of complex healthcare data on diseases, treatments, costs and outcomes to enable our clients to run their operations more efficiently. Customers include pharmaceutical, medical device and consumer health manufacturers and distributors, providers, payers, government agencies, policymakers, researchers and the financial community.","IMS Health is a leading information, services and technology company dedicated to making healthcare perform better.",,NA,,,,2013-12-15 15:28:24.988000,False,False,False,False,True,
Inbloom,inBloom,https://www.inbloom.org,Atlanta,GA,30305,,,0,10,Nonprofit,Education,,"inBloom is dedicated to bringing together the data, content and tools educators need to make personalized learning a reality for every student. To achieve this vision, inBloom offers states and districts a secure technology infrastructure to integrate data, services and applications that work together to support personalized learning; partners with education technology companies, content providers and developers to support the creation of products compatible with this infrastructure; and works with states and districts to help them use this infrastructure to support educators and students.","inBloom is a nonprofit organization working to make personalized learning a reality for every student by improving the effectiveness, variety and affordability of education technology.",,,,,,2013-12-15 15:28:25.012000,False,False,False,False,False,
Incadence,InCadence,http://incadence.com,Manassas,VA,20109,,,0,0,,Data/Technology,Not reported by company,"InCadence is a Salesforce certified partner and a professional services firm that provides comprehensive implementation and integration services for Salesforce.com and the Force.com cloud platform. We work primarily with non-profits, helping them to increase their impact through the use of technology. 

With over 50 years of combined experience in software and web development, Internet technology, strategic consulting, and business development, InCadence consultants leverage the power of the Salesforce platform to provide customized, long-term solutions for clients. These solutions range from optimization projects to large-scale implementations.",InCadence is a professional services firm that provides comprehensive integration services for Salesforce.com and the Force.com cloud platform. .,,100+,,,,2013-12-15 15:28:25.036000,False,False,False,False,True,
Indoors,indoo.rs,http://indoo.rs/,,CA,,,,2010,0,Private,Data/Technology,Not provided by company,"Indoo.rs is a technology development company that creates indoor mapping, localization, and routing technology as well as SDK for application developers and device manufacturers. Indoo.rs enables end users to accurately locate themselves and others inside buildings, such as an airport, shopping mall or exhibition center, using a PC, tablet or smartphone. Developers need not worry about device characteristics, data processing, algorithms, etc. that are core to the technology. Instead they can add indoor navigation capabilities to their applications using the indoor.rs SDK. No additional hardware is needed and neither is access to the Wi-Fi – it just works.","Indoo.rs is a technology development company that creates indoor mapping, localization, and routing technology as well as SDK for application developers and device manufacturers.",,NA,,,,2014-04-04 23:39:53.644378,False,False,False,True,True,
Infocommerce-Group,InfoCommerce Group,http://infocommercegroup.com,Bala Cynwyd,PA,19004,,,0,0,,Research & Consulting,Not reported by company,"InfoCommerce Group is a boutique consulting and research firm, serving the specialized business information publishing community. Our research, client project work and annual conferences provide the market with insight, information, and inspiration.

<p>
The InfoCommerce Group consulting practice has helped clients across the full range of business information products, but is particularly renowned for its expertise in all facets of commercial data publishing. InfoCommerce Group also offers knowledge and insight into the nuances of health content publishing through its health content advisory practice.","The InfoCommerce Group helps clients identify, design and launch new data products; improve existing products and develop market-aware business strategies.",,100+,,,,2013-12-15 15:28:25.060000,True,True,False,True,True,
Informatica,Informatica,http://www.informatica.com,Redwood City,CA,94063,,,0,0,Public,Data/Technology,Not provided by company,"Informatica Corporation provides data integration software and services that empower organizations to access, integrate, and trust all their information assets held in the traditional enterprise, off premise and in the Cloud. The company is provider of enterprise data integration solutions for Oracle, PeopleSoft and Siebel environments. Informatica aims to give organizations a competitive advantage in today’s global information economy.",Informatica Corporation provides data integration software.,,100+,,,,2013-12-15 15:28:25.082000,False,False,False,False,True,
Ing,ING,http://ing.us,New York,NY,00000,,,0,0,,Finance & Investment,,,"ING is a global financial institution offering banking, investments, life insurance and retirement services to meet the needs of a broad customer base.",,,,,,2013-12-15 15:28:25.106000,False,False,False,False,False,
Innocentive,InnoCentive,http://www.innocentive.com,Waltham,MA,02451,,,0,0,,Scientific Research,Not reported by company,"InnoCentive is a global leader in crowdsourcing innovation problems to the world’s smartest people who compete to provide ideas and solutions to important business, social, policy, scientific, and technical challenges. Our global network of millions of problem solvers, challenge methodology, and cloud-based innovation management platform combine to help our clients transform their economics of innovation through rapid solution delivery and the development of sustainable open innovation programs.","InnoCentive crowdsources innovation problems to the world’s smartest people who compete to provide ideas and solutions to important business, social, policy, scientific, and technical challenges.",,100+,,,,2013-12-15 15:28:25.130000,False,False,False,False,True,
Innography,Innography,http://www.innography.com,Austin,TX,78746,John,Martin,2007,60,Private,Business & Legal Services,Subscriptions,"Innography's subscription-based online information service provides answers to questions about intellectual property to help organizations improve their business results. Innography’s proprietary software suite corrects and correlates over 100 data sources and provides unique analysis and visualization technologies to enable users to quickly gain valuable insights for leveraging their patent portfolios, analyzing technology innovation trends and gaining competitive intelligence.","Innography combines patent data with many other data sources and analytics and visualizations to provide unique insights about patent assets, competitor actions and technology trends.","Innography is backed by Austin Ventures and Covera Partners, raising $14 million to date and with expected growth over 25% in 2014.  Based on Fortune 500 rankings, at least 3 of the top 5 U.S. companies in the following industries are Innography clients: Computer Hardware, Chemicals, Internet Services, Motor Vehicles, Software, Consumer Packaged Goods, and Medical Devices. Innography has over 9 million data-correction rules for the data sources, and recently added full access to 200,000 PACER documents about US patent litigation and 5 million Public PAIR documents that detail patent office actions by the USPTO and filer responses.",,,,,2013-12-23 22:19:41.448000,True,True,False,True,True,
Innovest-Systems,Innovest Systems,http://www.innovestsystems.com,New York,NY,10014,,,0,0,Private,Finance & Investment,Not provided by company,"Innovest's flagship product, a multi-currency enabled trust accounting and reporting system, is a secure, integrated, real-time, accrual based system offered in a Software in a Service (SaaS) environment. The product is a browser-based open system that comprehensively addresses the needs of trust companies, banks, private banks, retirement plan administrators and others that need to control, account for, and report on assets held in trust accounts.",Innovest provides technology-driven solutions to trust and wealth management companies.,,NA,,,,2013-12-15 15:28:25.152000,False,False,False,False,True,
Inovalon,Inovalon,http://www.inovalon.com/pages/default.aspx,Bowie,MD,20716,,,0,0,Private,Healthcare,Not provided by company,"Our unique achievement of value is delivered through the effective progression of Turning Data into Insight, and Insight into Action®. Proprietary datasets, sophisticated analytics, deep subject matter expertise, and nationwide in-community personnel deliver a seamless, end-to-end platform of technology and operations. Driven by data, Inovalon uniquely identifies gaps in care, quality, data integrity, and financial performance – while also bringing to bear the resources to resolve them. This differentiating combination provides a powerful capability suite touching more than 120 million Americans, driving high-value impact, and improving the quality and economics for health plans, hospitals, physicians, patients, and researchers.",Inovalon is a technology company that combines data analytics with highly targeted interventions to achieve meaningful impact in clinical outcomes and financial performance.,,NA,,,,2013-12-15 15:28:25.178000,False,False,False,False,True,
Inrix-Traffic,Inrix Traffic,http://www.inrixtraffic.com,Kirkland,WA,98033,,,0,0,Private,Transportation,Not provided by company,"With more than 250 business customers and partners including Audi, BMW, the BBC, Ford Motor Co, the I-95 Coalition, MapQuest, Microsoft, NAVIGON, Nissan, O2, Tele Atlas, TeleNav, Toyota and Vodafone, INRIX’s real-time traffic information and traffic forecasts help drivers save time every day. To experience the traffic technology revolution behind the next generation of transportation, navigation and location-based service applications, visit www.INRIX.com.","INRIX develops and operates a traffic intelligence platform, delivering smart data and analytics to solve transportation issues worldwide.",,100+,,,,2013-12-15 15:28:25.202000,False,False,False,False,True,
Intelius,Intelius,http://corp.intelius.com/,Bellevue,WA,,,,2003,131,Private,Business & Legal Services,Not reported by company,"Intelius specializes in public records information, offering services to consumers and businesses which include background checks and identity theft protection.","Intelius specializes in public records information, offering services to consumers and businesses which include background checks and identity theft protection.",,NA,,,,2014-04-06 01:04:05.250766,False,False,False,True,True,
Intermap-Technologies,Intermap Technologies,www.intermap.com,,CO,,,,1996,0,Public,Geospatial/Mapping,Not provided by company,"Intermap is an industry leader in geospatial solutions on demand. Intermap is focused on improving the way people, businesses, and governments use location-based information. They collect, aggregate, and commercialize geospatial data from around the world, and have innovations in geometric imaging, data acquisition, data aggregation, and more. 

<p>For more than three decades, we have helped customers solve their geospatial and mapping problems by offering our Orion Platform™ which encompasses our geospatial services, foundation datasets, aggregation and delivery services, and 3DBI® applications. Customers can leverage our solutions everyday to analyze and manage their data through Intermap’s services and products, which include RiskPro, GeoPro, the NEXTMap five-meter terrain datasets, and NEXTMap World 30™, along with others. </p>

<p>The Orion integrated platform defines, designs, and delivers customized and scalable geospatial solutions. These geospatial solutions are used in a wide range of applications, including, but not limited to, geographic information systems (GIS), advertising, agriculture, engineering, GPS maps, insurance risk assessment, oil and gas, renewable energy, hydrology, environmental planning, wireless communications, and transportation. </p>","Intermap is focused on improving the way people, businesses, and governments use location-based information.",,NA,,,,2014-04-04 23:31:45.021180,False,False,False,True,True,
Investormill,Investormill,www.investormill.com,New York,NY,10003,,,2012,2,Private,Finance & Investment,"Database Licensing, Subscriptions",Investormill makes economic and financial data approachable to everyone. We do this by curating the most important components and delivering the data via an easy to use interface. We price in a way that is accessible for either one-time or recurring usage.,Investormill makes it simple to find and chart economic and financial data.,,10-50,,Consumption by income brackets,,2014-03-20 22:33:08.237333,True,True,False,True,True,
Iodine,Iodine,www.iodine.com,San Francisco,CA,94107,Thomas,Goetz,2013,7,Private,Healthcare,Not provided by company,"Iodine combines large healthcare datasets with a user's individual needs and background to create a personalized resource for better understanding and decision-making about health. We believe that too much information offered to patients today is generic, anecdotal, and out-of-date. We believe that data science can create better information that will improve adherence, enhance behavior, and make people more confident about their health.",Iodine combines large healthcare datasets with a user's individual needs and background to create a personalized resource for better understanding and decision-making about health.,,10-50,,,,2014-04-04 23:49:18.340376,True,True,False,True,True,
Iphix,IPHIX,iphix.net,Falls Church,VA,22046,Gianluca,Garbellotto,2004,5,Private,Data/Technology,"Software Licensing, Consulting Services","IPHIX uses data standards as enablers of cost savings and greater efficiencies in the collection and dissemination of public information and within an organization's internal environment. Our experience is derived from standardization projects based on the use of the Extensible Business Reporting Language (XBRL) within cross agency governmental projects, individual governmental agencies, commercial enterprises and other non-governmental entities, in the US and globally.",IPHIX is an IT consultancy in the area of business data standardization.,"Average revenues between US $300K and US$500K. Our key partners are Fujitsu, Altova GMBH, PwC.",1-10,,,,2013-12-15 15:27:48.321000,True,True,True,True,True,
Irecycle,iRecycle,http://earth911.com/irecycle/,Scotsdale,AZ,85257,,,0,0,Public,Environment & Weather,Not reported by company,"iRecycle can tell you how, where and when to recycle just about anything. Using your current location, ZIP code, address or city, get access to vital details for collection points, such as Web site, phone number, directions, hours of operation and other materials collected.",iRecycle provides access to more than 1.5 million ways to recycle plus the latest in green news and ideas to match individuals' lifestyle.,,NA,,,,2013-12-15 15:28:25.225000,False,False,False,False,True,
Isi-Group,ISI Group,http://www.isigrp.com,New York,NY,10103,Ed,Hyman,1991,100,Private,Finance & Investment,,Please fill in,Please fill in,,1-10,,,,2014-03-24 18:58:49.496243,False,False,False,True,False,
Itriage,iTriage,itriagehealth.com,Denver,CO,80202,Peter,Hudson,2008,103,Public,Healthcare,"Lead Generation To Other Businesses, Subscriptions","iTriage LLC, an Aetna subsidiary headquartered in Denver, CO, is a global health care technology company founded in 2008 by two emergency medicine physicians. The company's platform and mobile/web applications offer a proprietary Symptom-to-Provider pathway that empowers people to make better health care decisions. iTriage helps people answer the two most common medical questions: ""What could be wrong?"" and ""Where could I go for treatment?"" The free iTriage mobile app may be downloaded through the iTunes App store or Google Play Market, or customers may use the iTriage website at www.iTriageHealth.com. In addition, thousands of health care providers already use the iTriage platform to reach more consumers and increase patient engagement.",iTriage is a free mobile app and website that helps people make better health care decisions and take charge of their health.,,NA,,Expanding the number of datasets that show transparency around healthcare cost and quality would be useful.,,2013-12-15 15:27:42.272000,True,True,True,True,True,
Ives-Group-Inc,IVES Group Inc,http://auditanalytics.com/,Sutton,MA,01590,Mark,Cheffers,2000,50,Private,Data/Technology,"Database Licensing, Subscriptions","Audit Analytics is an independent provider of audit, regulatory and disclosure intelligence. Audit Analytics’ comprehensive research is used daily around the world by the accounting, investment and legal communities for market intelligence, due diligence, compliance monitoring and trending.","Audit Analytics is an independent research provider of audit, regulatory and disclosure intelligence.",We are a privately held company with no outside investors.,1-10,,,,2013-12-18 18:57:33.047000,True,True,False,True,True,
Iw-Financial,IW Financial,http://info.iwfinancial.com,Portland,ME,04102,,,0,0,Private,Finance & Investment,Not reported by company,"The company works closely with clients on guideline development, compliance, UN PRI implementation, portfolio customization, engagement, benchmarking, and product development. IW Financial’s research team produces data on more than 3,000 U.S. publicly traded companies covering more than 1,000 discrete data elements. IW Financial’s in-house research on more than 6000 global companies is available through IW Financial’s patented Workstation platform. The company is headquartered in Portland, Maine.","IW Financial is a leading provider of environmental risk assessment, social responsibility, and corporate governance research for investors.",,NA,,,,2013-12-15 15:28:25.248000,False,False,False,False,True,
Janus-Capital-Group,Janus Capital Group,https://www.janus.com,Denver,CO,00000,,,0,0,,Finance & Investment,,,"Janus Capital Group provides clients differentiated investment solutions across a range of asset classes, including growth, core and value equities, fixed income and mathematical investing.",,,,,,2013-12-15 15:28:25.294000,False,False,False,False,False,
Jj-Keller,JJ Keller,http://www.jjkeller.com,Neenah,WI,54957,,,0,0,,Business & Legal Services,Not reported by company,"J. J. Keller & Associates, Inc. helps businesses, large and small, deal with the complex and constantly evolving regulations that affect their operations daily. We offer more than 12,000 products and services to help customers meet their safety needs and comply with regulations enforced by DOT, OSHA, EPA, FDA and 300 state agencies. As a trusted source for safety and compliance solutions, we stay on top of new regulations and industry needs and respond with timely, carefully prepared solutions for the transport, workplace, human resources, food and construction markets.

J. J. Keller’s diverse product line includes publications, consulting, and outsourced services. Additionally, J. J. Keller provides several online tools, including Prospera®, KellerOnline®, FleetMentor®, Driver Management Online™, Vehicle Management Online™, Fuel Tax Master® Online and more.

J. J. Keller's Business Services provides a range of services to take complex regulatory work off the hands of our clients. We provide safety consulting and on-site training for transportation, human resources, construction and general industry. Additional transport-related services include licensing, permitting, fuel tax reporting and driver log auditing.","J.J. Keller helps businesses, large and small, deal with the complex and constantly evolving regulations that affect their operations every day.",,NA,,,,2013-12-15 15:28:25.318000,False,False,False,False,True,
Jp-Morgan-Chase,J.P. Morgan Chase,http://www.jpmorganchase.com/corporate/Home/home.htm,New York,NY,10017,,,0,0,,Finance & Investment,Not reported by company,"J.P. Morgan Chase is a global financial services firm and a banking institution in the United States, with global operations. The company is engaged in investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing, asset management and private equity.","J.P. Morgan Chase offers investment banking, financial services for consumers, small business and commercial banking, financial transaction processing, asset management and private equity.",,NA,,,,2013-12-15 15:28:25.272000,False,False,False,False,True,
Junar-Inc,"Junar, Inc.",www.Junar.com,McKinney,TX,75070,Taylor,Scanlon,2010,10,Private,Data/Technology,Software Licensing,"Junar is a leading supplier of cloud-based software that streamlines the process for data-rich organizations to publish Open Data in the fastest and most cost effective manner. Once published, our platform enables data consumers to easily view, download, analyze and share the data. We enable clients in both the public and private sectors to achieve their strategic data sharing initiatives and fuel innovative, third-party applications.",Our products streamline the process for data-rich organizations to publish Open Data while enabling data consumers with easy access and use.,$1.4M invested to date; annual revenue ~$1M USD,100+,,,,2013-12-17 21:27:57.253000,True,True,False,True,True,
Junyo,Junyo,http://junyo.com,Menlo Park,CA,94025,Steve,Schoettler,2011,0,Private,Education,Data Management and Analytic Services,"Junyo develops data-centric solutions with the power to improve efficiencies and learning processes within the education system. We deliver innovative solutions that provide market intelligence and help make sense of the enormous amount of data available to schools, teachers and students. Our ultimate goal is to improve learning by helping ensure the right content and materials are delivered to the right schools and students at the right time.",Junyo leverages the power of data and analytics to improve learning processes.,"We are a Silicon Valley start up.  We launched our EdLights market intelligence platform in summer 2013. 

 Investors include NewSchools Venture Fund, Kapor Capital, and Learn Capital.",NA,,,,2013-12-17 00:15:26.570000,True,True,True,True,True,
Jurispect,Jurispect,jurispect.com,Mountain View,CA,94043,Catherine,Hammack,2013,4,Private,Business & Legal Services,"Subscriptions, User Fees for Web or Mobile Access","Jurispect enables companies to make data-driven legal decisions. Jurispect's software service tailors regulatory and legal updates to each user's interests. It provides customized risk metrics and analytics for every rule and issue. With Jurispect legal intelligence, companies know exactly where to focus their legal and compliance efforts.",Jurispect is a startup company in beta phase.,We are a startup entering the beta testing phase. We will be raising a seed round of funding over the next few months.,100+,,Investigations undertaken by each agency along with the results.,,2014-03-04 02:27:58.029953,True,True,False,True,True,
Kabbage,Kabbage,https://www.kabbage.com/,Atlanta,GA,30308,,,0,0,,,,,Kabbage is a financial and data technology company that uses data sources to change the way small businesses obtain capital.,,,,,,2013-12-15 15:28:25.341000,False,False,False,False,False,
Kaggle,Kaggle,http://www.kaggle.com,San Francisco,CA,00000,,,0,0,,Data/Technology,,"iGo produces Power Smart products that can prevent energy being drawn from electronic devices that are plugged in but not in use, and provides a calculator to assess the potential energy savings.",Kaggle is a community of data scientists who compete with each other to solve complex data science problems.,,,,,,2013-12-15 15:28:25.366000,False,False,False,False,True,
Kaiser-Permanante,Kaiser Permanante,https://healthy.kaiserpermanente.org/html/kaiser/index.shtml,Oakland,CA,94612,,,0,0,,Healthcare,Not reported by company,"Kaiser's mission is to improve the health of its members and the communities it serves, by creating safe, healthy environments and providing care and coverage for all. It offers nonprofit healthcare plans, and provides preventive care, well-baby and prenatal care, immunizations, emergency care, screening diagnostics, hospital and medical, and pharmacy services. It offers its services in California, Colorado, Georgia, Hawaii, Ohio, Oregon, Washington, and the District of Columbia.","Kaiser Permanente, recognized as one of America's leading health care providers and not-for-profit health plans, is committed to helping shape the future of health care.",,NA,,,,2013-12-15 15:28:25.389000,False,False,False,False,True,
Karmadata,karmadata,www.karmadata.com,Hingham,MA,02043,Sean,Power,2011,10,Private,Healthcare,Subscriptions,"karmadata is healthcare (big) data, simplified. The karmadata team is on a mission to change the way businesses and consumers obtain and interact with healthcare information. Using big data and cloud technologies, karmadata standardizes and links the world’s healthcare data ranging from leading open data sources to private pharmacy and medical claims. Our users then follow items of interest (such as diseases, drugs, physicians, or corporations) through a real time Feed, create impactful visualizations through their Datacards, or subscribe to any application in our App Gallery.","karmadata is healthcare (big) data, simplified. We offer a collection of the world's healthcare data that is live, visual, and linked.","karmadata is self-funded (by founder), with no outside investment to date; still in start-up/bootstrap phase.",50-100,,"Physician identifiable medical claims from Medicare and Medicaid (surgeries, procedures, diagnostics).  Same for Rx.  More detail on clinical investigators than currently released through BMIS.  Federal Government level All Payor Claims Database.  Easier access to de-identified patient records for longitudinal studies of disease and treatment paradigms.",,2014-03-27 16:30:14.339741,True,True,False,True,True,
Kayak,Kayak,http://www.kayak.com,Norwalk,CT,06854,,,0,0,Public,Transportation,,"Our website and mobile apps enable you to easily compare hundreds of travel sites at once. If you want to spend hours searching every airline, hotel and other travel site yourself, that’s one option. If you’d prefer an easier way to find a good deal, we can help. Once you find what you want, we give you choices where to book (most travel sites do not), including airline, hotel, car rental and online travel agency sites, and oftentimes even through KAYAK directly. We’ll send you right to the booking page to finish your purchase there.","Kayak is a tech company focused on making online travel better, started by co-founders of Expedia, Travelocity and Orbitz to take a different approach",,,,,,2013-12-15 15:28:25.411000,False,False,False,False,False,
Keychain-Logistics-Corp,Keychain Logistics Corp.,www.keychainlogistics.com,San Francisco,CA,94107,Bryan,Beshore,2012,9,Private,Transportation,"Data Management and Analytic Services, Online Marketplace","Keychain Logistics is a software marketplace that directly connects companies shipping products with independent semi-truck owner-operators. Our platform effectively cuts out the traditional third-party logistics brokerage process by virtue of a software enabled network of virtual carriers (trucks on the go in our network). We understand where trucks in our network are at any given moment, their capacity, and if they would be an ideal match for a company shipping.",Keychain Logistics is an online marketplace to create efficiency and safety in the truck-based logistics brokerage business.,"Sorry, we don't disclose our financials.",1-10,,"Data on specific truck-drivers in the United States. Their safety information, personal information (possibly), etc.",,2014-03-04 18:45:30.842539,True,True,False,True,True,
Kidadmit-Inc,"KidAdmit, Inc.",www.kidadmit.com,San Francisco,CA,94107,,,2012,10,Private,Data/Technology,not reported by company,Kid Admit is an easy and efficient way to apply to multiple San Francisco preschools online and helps parents manage the preschool admission process by keeping them on top of important admission dates and deadlines.,Kid Admit is an easy and efficient way to apply to multiple San Francisco preschools online.,,NA,,,,2014-04-05 23:41:28.451375,False,False,False,True,True,
Kld-Research,KLD Research,http://www.msci.com/products/esg/#,New York,NY,10005,,,0,0,Private,Finance & Investment,Not reported by company,"RiskMetrics Group, a leading provider of risk management and corporate governance products and services to participants in the global financial markets, was acquired by MSCI Inc. (NYSE: MXB), a leading global provider of investment decision support tools, including indices and portfolio risk and performance analytics, on 01 June 2010.","KLD is an independent research firm providing sustainability research and indexes: clients use KLD to integrate environmental, social and governance (ESG) criteria into investment decisions.",,NA,,,,2013-12-15 15:28:25.434000,False,False,False,False,True,
